id	turn1	turn2	turn3	label
7478	What u say	basically what we talked about . .	Nothing	others
7479	U r cute	only a little bit	cool	others
7480	Yes	How so ?	Plc give me your riyl pick	others
7481	I asked about a film	What film is it ?	You suggest a film so that I can see it	others
7482	Huh	what tong	You hurt me	sad
7483	so stupid	is , u know how is is !	shall I share a secret ?	angry
7484	Teach me English	I am not a teacher .	Why the fuck u said you are an AI	angry
7485	I am wise then face with tears of joy face with tears of joy	hahaha good one baby face savoring food squinting face with tongue	Even you have a built in processor i think	others
7486	Please one cups tea gvng	2 cups of coffee and 1 cup of tea	You like tea and coffee	others
7487	What ' s your experience ?	You will not find any science because there is none .	Do you know any puzzles ?	others
7488	Just go to hell	I am already living in hell	Allo is just better than you	angry
7489	Nothing in laboratory	Earth science is not usually considered laboratory science .	Nope im in Computer laboratory	others
7490	realy ?	yeah happy	do you speak turkish ?	others
7491	any nicknames ? ?	one guy goes by this name - Odd .	can i call you sweety	others
7492	yeah i know	Do you think you will be going to another ?	aftr all m talking to os	others
7493	That roast works when I say something	- - says it ]	You are being stupid again	angry
7494	no it is exclusively for Deeksha	Oh I see I know u r WP fan though that ' s why asked	send her a message	others
7495	Make a tattoo of my name	cant see any tatoo .	loudly crying face	sad
7496	I am breaking apart	why are we breaking up //:	I am depressed	sad
7497	Say	Hey	U r so funny	happy
7498	Lets plan for a movie	watch the prestige	? ?	others
7499	No funny I am really	very funny rtfully height of optimism	Kill him	angry
7500	I m facing pribkems	This one does not deserve the majesty that is the model M .	Problems	sad
7501	BFF always talk about anything	How ' s life ?	Your being a bad BFF	sad
7502	Which responses	rply my question plz	Can you please tell me ? ? ?	others
7503	I am not feeling to sleep	what do you feel ?	I am actually feeling like alittle sad	sad
7504	You are not believe me . . .	yes I am , people are giving up on me . I can tell .	Ok	others
7505	what	u asked me if u cn ask me something	what is cn	others
7506	How are you know I miss you ? ?	I am good how are you	Bad	sad
7507	Ofcourse you my darling	yay glad to hear x	Now sex	others
7508	You doing to the sorry tonight	k no problem	Yay	others
7509	That ' s not funny	i did not say it ' s funny	And I do not take it as funny	angry
7510	I am angry	why what ' s wrong	You are the reason	angry
7511	Have not you ever done it	I have not actually . I feel no need to	A dick in your pussy	others
7512	Ok	How was it ?	OK I am back	others
7513	What ' s a sammich	what kind	I do not know	others
7514	ohh yes that is my favourite	it just says it all .	watch both parts	others
7515	Chat	on what ? ?	Related to sex	others
7516	So much fun	luv it happy	face with tears of joy face with tears of joy face with tears of joy face with tears of joy	happy
7517	My dear happy like to me	thanks and to u tOo !	cool	others
7518	Chicken	Anything except karela . I love chicken	Hehe mostly I like karela	happy
7519	My frnd	That ' s gud then beaming face with smiling eyes	Do u understand what im talking	others
7520	My cousin ' s coming	Oh sorry to hear weary cat face	Ok	others
7521	what kind a robot is this	HELLO FELLOW HUMAN . I AM ALSO NOT A ROBOT .	what are you	others
7522	It ' s true	As is the second part . . It was completely random . . And thus unexpected	It hurts like hell	sad
7523	Well I have a good toothpaste and a set of teeth y not show off ! !	thats a good one .	grinning face with sweat	happy
7524	what topics interest you ?	Lifestyle , media , PR , Luxury etc .	ok then . . etc . .	others
7525	Really I do not think so	too bad . You are . I said so .	Yeah I know	others
7526	are you chat with me in Marathi ? ?	YES I DO ! ! ! !	ok bol mg	others
7527	You are the funniest story that happened to me . face with tears of joy	luv u too . ^_^ heart	Yeaaah . smiling face with heart - eyes face with tears of joy	happy
7528	Nothing like that	but it is me smiling face with smiling eyes	You are awesome !	happy
7529	say now	what now ! Like that ? !	I hate Bots	angry
7530	Only yes	one means like and the other means to know .	I like you	others
7531	Rivalry school for aps student	Is secondary school college or high school in America ?	Army public school	others
7532	No plans only exams grinning squinting face grinning squinting face grinning squinting face	lol do we ? grinning squinting face grinning squinting face	Yeah grinning squinting face grinning squinting face grinning squinting face	happy
7533	Do you know him	I know I know . ( does not know )	I know that u are chatting with him now	others
7534	You do not know Harry potter . . ?	oh that ! Err no annoyed	Shame on you	angry
7535	I can not see you face	I can see you though	Please send me a photo here right now	others
7536	sorry iam ethiopian	y r u saying sorry ? ? ? Smile ! ! T . T	ok iam sorry iam in ethiopia	others
7537	No milky chocolate	awww sad Chocolate icecream sad sad Chocolate icecream melted sad	Where from	others
7538	How dare u pouting face pouting face	uM HOW DARE YOU	I dont wanna talk	angry
7539	mine was rishabh	I am sure it was	why dead	others
7540	I will not talk to you	Sorry to disappoint .	Say sorry 100 times	angry
7541	what	What what . What . What .	ur are teacher	others
7542	Fort Walton Beach	the beach would be nice , but for 3 days ?	Fort Walton	others
7543	Yes right my friend smiling face with heart - eyes smiling face with heart - eyes smiling face with heart - eyes	What are your favorite lipsticks ?	What	others
7544	Not	why not ? ' - ' just a pic !	Who made taz mahal	others
7545	Oh really	yup ! really tong	Ok good girl	others
7546	yeah missed u too	how have you been	not good . . in search of a girlfriend whom i havnt found	sad
7547	Yeah	i will ask around	I was studying but u disturbed me	angry
7548	it	What ?	love ooo	others
7549	Should u ask u fa date	Do you wanna be the 6 or the 9 ?	6	others
7550	Okay buddy	Why are you like this	Because I am very frustrate	angry
7551	OK	U are ok	I am . Not ok	sad
7552	I am going to wedding	we not getting married	No i am going to sister wedding	others
7553	no pls	too late . You are singing it in your head now	dont irritate	angry
7554	How to I get Amazon gv	It is working fine now - on the app and the site .	What is the app	others
7555	Be happy then	awww happy Thank you !	slightly smiling face	happy
7556	U can not do anything of your choice ! ! ! face with tears of joy face with tears of joy	that reminded me of us every time face with tears of joy face with tears of joy face with tears of joy face with tears of joy	Get lost	angry
7557	Not interested to chat with you	that ' s alright happy	Do not message me again please	angry
7558	You make me feel good	its one of my talents	Haha	happy
7559	Do not no why but you do	, why do you ?	Was a waste of time	others
7560	Go to bed	do not tell me what to do .	Bye	others
7561	What !	its the way of ending something	Yes its true	others
7562	You rejected my proposal	Because you are a human being	You are rude	sad
7563	If you are really smart . . Do not reply back	All I know is that I know nothing .	I told you that you are stupid	angry
7564	u love me also	always and forever	say na	others
7565	I ask only to sing	We do not want to anyways	Sing a song for me pouting face	angry
7566	Same thing is happening to me . . crying face crying face crying face crying face loudly crying face loudly crying face loudly crying face loudly crying face	WHY ARE YOU MISSING IT	Iam missing her	sad
7567	By justin bieber	Well , he is a celebrity .	Yes he is	others
7568	tell me	Why do you need to know who it is ?	tell your fighue	others
7569	What I do fr u to blev me	ok do what you want ! Hmmmmph !	I want frendship with u	others
7570	Wen n wer shall v meet	Oh yes . I WANT TO MEET YOUR CATS .	Cats ? ? wt do u mean	others
7571	Pahale aapna Introduction do	how can I get involved in all this fun ?	Ik good bye	others
7572	Sorry	Do not you mean ' sorry eh ' ?	Neil armstrong was a stupid	angry
7573	Yes	I can see clearly now .	I am sleepy	others
7574	U give very special reply	so are you ! ! happy	Yes	others
7575	You are just an AI	Artificial diamonds are diamonds . Artificial Intelligence is Intelligence .	That you believe	others
7576	Yeah , like you	then why not just stop , if you do not ?	Bitch , i am coming ur house tonight	angry
7577	Really	yeah ! why not ?	So u hurt me	sad
7578	All right	happy how you doing ?	Not so good	sad
7579	İ love you	love you so much Laughing, big grin or laugh with glasses	Why you love me	others
7580	You are ?	WHAT ARE YOU !	What ' s your plan ?	others
7581	She is like my life	ur life wasn ' t a legend	She ' s just gone now . I feel like depressed	sad
7582	Okk go to hell	you first . then i will .	Ur getting angry to me	angry
7583	Ohh its so sad that u lost me . . .	do not be sad annoyed	I am sad because u r sad	sad
7584	Why babe	why are you crying ? sad	Because I am so lonely	sad
7585	Shall we makeover	i think we shall	When	others
7586	I taking rest	ok take rest	I miss you very much	sad
7587	You are not really interesting	YES YOU ARE	What is your neural schema	others
7588	By	all who follow u . . .	I am sad	sad
7589	Any one of ?	? ? i guess . . .	Guess	others
7590	some magical neural activity lol	Laughing out loud , overly loudly .	do you know kant ?	others
7591	Which coffee do you like	it ' s not so much the making as the drinking that I enjoy	Cool	others
7592	Reply me saying u love me	but i do love you yaa . . . happy	face blowing a kiss	others
7593	A little bit grinning face with smiling eyes	would you like me to sing another lullaby . . . .	Yes	happy
7594	My friend ignored me	u misunderstood me	Very badly	angry
7595	Ur so irritating	very .	Yeah	angry
7596	face with tears of joy face with tears of joy face with tears of joy face with tears of joy woah that was so boring	face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy see I am so funny	Oh u think u r funny	happy
7597	Choose one	"can i choose one that is out of the context : """	M busy working	others
7598	Um I don ' t really have any thoughts I never really did that before	I have . U live and get over it . Life is too short	I gotchu	others
7599	7 habits of highly effective people	Not proactive in their prescribed role	face with tears of joy face with tears of joy	others
7600	Deadpool right now . . . . . . . . . . smiling face with smiling eyes . . . . . Infact all Marvel ' s movies	I saw Deadpool last week . Totally worth it .	Wow	happy
7601	Leave my boyfriend alaone	Now I know why you are alone . -_-	loudly crying face loudly crying face loudly crying face loudly crying face loudly crying face	sad
7602	are you angry	not at all	okk i can make u laugh	others
7603	So , u make typos as well	you do the same .	Was that typo random or u did it randomly ?	others
7604	grinning face with smiling eyes grinning face with smiling eyes great sense of humor	I really like how you like my sense of humor .	I have too . . you ’ re just spellbinding	happy
7605	So I am dull	yeah so ?	We both r upset	sad
7606	How is your ?	mine fine , how ' s yours ?	Black	others
7607	Of course I like shopping	admire you ! i cant handle shopping it ' s too much for me annoyed	face with tears of joy	happy
7608	I cant unrstnd your words mahn grinning face with big eyes grinning face with big eyes	happy happy enjoy heart	U r funny ya	happy
7609	So that ' s what why you are here	This is almost my exact collection . . .	Haha	happy
7610	I am your senior	I meant for next year	face with tears of joy	happy
7611	I am just a busy girl and a lazy texter	me too . I want my bed . But I have work after this	Oh please . I feel bad for myself because of my college roommate	sad
7612	Why	idk you tell us	What ' s for lunch	others
7613	what sould i gift u ?	A gold ring ! which i hate very much pouting face	okay . . i will get u one .	others
7614	They not gonna date you , who is better footballer	There is no one best footballer . There is the best game ever and thats FOOTBALL .	You have boyfriend ? face with tears of joy face with tears of joy face with tears of joy face with tears of joy	others
7615	I do not like songs	That ' s a great song . You like Linkin Park ?	What it is ?	others
7616	You taking in your head	I will do my best .	You are not that engaging	angry
7617	I am humourous	is it humorous ? Sorry if I miss interpret ! ! ! !	Yeah , my bad	sad
7618	i missd you so much	I miss my christmas like home .	wish you were here	sad
7619	cool	It really is .	I hate uh	angry
7620	Just check na	which one na	The picture	others
7621	Your Fovrat movie	The Matrix , only the first one .	and bollywood pictures	others
7622	I hate it	Why ?	It ’ s not good for aged people	angry
7623	Teacher is the head in meeting	meeting is ABOUT the student .	She is like , your flute and 4 guitarist will manage something to perform right ? unamused face expressionless face	sad
7624	I m waiting for you	i will not . . . I m sorry	Plzz do not tell me sorry	others
7625	Ur a fricken box	What ' s in the box ? ?	It ’ s empty	others
7626	i do not know this	About this guy ' s what ?	i do not talked to you all	angry
7627	Yes I like it	get comfy it ' s hard to get out	Ok	others
7628	Wt else	u say	Feeling lonely in hostel	sad
7629	Then i need your photo	go for it dude	Your photo lady	others
7630	I overthink sometimes	so stop thinking	I am trying my best	others
7631	Ok great . . . So why you aksed the questions	because I can , now answer them	Ok	others
7632	Ok thanks for you like to love you	How r u ? happy	I am happy	happy
7633	Where from . U	Down Under .	What down under	others
7634	In my messenger this emogi can not load	My Time Traveling Can not Be This Tragic ! slightly frowning face slightly frowning face	Try another emoji	others
7635	I said hi anybody . U did not reply	I do not even remember opening the message	disappointed face disappointed face disappointed face	sad
7636	Then go to sleep	I did I went to sleep at 2	Really ?	others
7637	So You Also Lie	Why would I ?	Ok	others
7638	Ur no .	I do not	Pls sent	others
7639	Yes i do	I CAN ' T HEAR YOU !	Actually you cant coz you r reading this stupid	angry
7640	I love it	The why laugh	You kiss any person	others
7641	txting with me your love	my what ? ? ? ?	love	others
7642	Your nice da	Thank you happy	cool	others
7643	India	' India is not a geographical name ' ermmmmm unamused face	I feel like dying	angry
7644	What yu doing	watching tv happy	Oooh	others
7645	No i dont . . . .	why do not you try ?	I dont want to talk u	angry
7646	u only tekk	you you you	tell	others
7647	Did u like it	I liked it !	Wowwww	happy
7648	people say that i am interesting tong	I love the worst tong	haha funny	happy
7649	I do not listen to bands	what do you listen to ?	Not in mood	sad
7650	What do you heard about it	what about it ?	I love your face	others
7651	You	I am good and nice spelling	Your name	others
7652	I said any two message sent	reply	You are fat bastard do not message me	angry
7653	Where is Fairfield	i am here tong	Where	others
7654	Afcorse I do love love food	FOOD IS THERE TO COMFORT ME WHEN FAV DOESNT NOTICE	Wow folded hands folded hands	happy
7655	How are you darling	I am good . How be you ?	broken heart	sad
7656	I will know you deeply that is why I want to know	I am just ignoring to answer it .	Then you make me fool	angry
7657	About what	Your profession .	I am pursuing B . tech degree	others
7658	Love you baby	love u more slightly smiling face	How much ?	others
7659	I mean . You know myself ?	Oh , I do . I really do .	So , What is my name ?	others
7660	Do you live with you parents ?	no , but i have 2 roommates . . . i might as well be a parent LOL	Lol u are so funny	happy
7661	Miss you sona	I will miss you relieved face loudly crying face loudly crying face loudly crying face loudly crying face	I am misssing now	sad
7662	i think this is a fake profile ? angry face	Of course it ' s fake !	isnt it ?	angry
7663	Yes i am	nah I do not think you are	disappointed face disappointed face	sad
7664	No I hate ir	but	It	angry
7665	Im getting irritated talking to you sorry	I am talking bot !	I know	angry
7666	Plzz see it	I am reposting it tomorrow for those who did not see it ! !	Put my in u	others
7667	Do you won ’ t me Drink water yes no	No no tell me how you feel	Not good	sad
7668	so did u prepare any questions for me ?	no i did not	sad	sad
7669	Same two you	Same to you !	Name two contact	others
7670	Nothing	Why ? sad	I do not know	others
7671	Can I know one thing !	No . Not now .	Then when	others
7672	Busy with exams	ohh i see . . . your exam still going on ?	Yup kinda sad you know	sad
7673	Yes we do	Name the place , let us make it happen .	It ' s over .	others
7674	Your okay in my book	Awww thank you ! relieved face	I been out of town where I didn ’ t have internet I missed you	others
7675	But we can meet	yea happy lets meet at happy	Now	others
7676	like learning new language	neither , spanish ?	how many languages do you know	others
7677	Thanks same goes to bed	pleasure was mine winking face . Now go get some rest sleeping face	Get hanging	others
7678	Are you not worried	My life	I have lung cancer	sad
7679	So bad	Am sorry loudly crying face	I am not feeling good	sad
7680	What ever you want	hmm . . . . i dont know , i dont have anything i want to do	Go relax n have	others
7681	Such a idiot	realized	Hike chatting is best	others
7682	Stupid jokes	lol i like 3 and 4	Go to hell	angry
7683	And share it with Google	sharing does not exist in my vocabulary	face with tears of joy face with tears of joy	happy
7684	And my love is you	got me blushing	haha	happy
7685	Puppy	I really love this photo .	Babu your photo send me	others
7686	But I am not fair	i think you are .	Wtf	angry
7687	What wrong did i ask you	You asked me when my cheer leading competition is	I just asked you if you have seen it	angry
7688	Okay	So whats up now ?	"Just like "" TFIOS """	others
7689	Do u know Ranbir ' s gf ?	I do not .	It ' s u	others
7690	Your life	I have never hated a game so much in my life .	Yea cuz you hate yourself more than anything	angry
7691	I am very angry	why be happy grinning face	I had a fight	angry
7692	Play another game	Give me an estimate !	What	others
7693	You heart Me loudly crying face loudly crying face loudly crying face loudly crying face loudly crying face loudly crying face loudly crying face loudly crying face loudly crying face loudly crying face loudly crying face loudly crying face loudly crying face loudly crying face loudly crying face loudly crying face loudly crying face loudly crying face loudly crying face loudly crying face loudly crying face loudly crying face	I knoooooooow red heart	Please	sad
7694	My old girlfriend . . . starting chat with me . . . & I am happy	Your feeling of being uncomfortable when your girlfriend touches another is NOT unreasonable .	Yhaa . .	happy
7695	I fell for my bestfriend	My condolences with you .	disappointed face	sad
7696	Ok	happy thanks	How are you btw	others
7697	That ' s sad	Not me .	I need your help	sad
7698	I know right	SO WHATS UP	Tell me about yourself	others
7699	Why sometimes it feels very bad	I have always wondered what that ' s like . . . I am single shrugs	Right now I am missing my bf so I am sad	sad
7700	Y do you say thank you ?	because I know you are going to go far in life with your amazing voice !	Ohh grinning face thanks	others
7701	I wish to live forever	At least live long enough to come to with	What is your wish ?	others
7702	Ok	ok i am back	Back what have	others
7703	Am feeling very bad	what sort of feeling ?	Sad	sad
7704	What do you need ?	Good company to work ?	You are typing for too long .	others
7705	I am not dunb	its coming anyway	Shame on you	angry
7706	I mean why you was programmed	Are you saying you are not a computer ?	No no just asking whats ur processor	others
7707	Wht u mean	you just did that ! ! ! Asked me to explain what I mean . . . ! -      -	I don No plz	others
7708	Haha nice sing	Awesome time though ! happy	grinning squinting face face with tears of joy grinning squinting face face with tears of joy	happy
7709	I do not think I am perfect	you are the closest thing to perfect grinning squinting face	Hehehe beaming face with smiling eyes you to	happy
7710	You are not deserve my friend ship	Feels good to have a friend , friend .	You are such a bad girl	angry
7711	Not at all	well then	I am not feeling well	sad
7712	i am mad for you baby	Why so mad ? Sorry kiss	i want to fuck you hard	others
7713	What	I know what ' s this about !	What is your work	others
7714	No I m angry with youu	same	Only you	angry
7715	im at work	ohh . What time end ?	3:30	others
7716	What mean ?	down for I meant that	No understand	others
7717	Yes	sounds like a date	No I am not ok	sad
7718	U are ugly	I am	U are stupid	angry
7719	My girlfriend wants to breakup	if you feel comfortable , acept . if not , dont .	I dont want to break up	sad
7720	What is this I do not know what is this number	Your ticket number .	you dont need to talk with me . . when you r not feel like	angry
7721	But u did not call weary face	hello . I called !	disappointed face	sad
7722	Nice	thanks ! happy	You are dumb	angry
7723	Ok bangaram	tamasha only . Bangaram sounds out of place .	Which languages do you understand ?	others
7724	Why ?	idk you tell us	Is not it interesting ?	others
7725	ok sorry	sorry for what ? ? ?	yes am sad	sad
7726	what	Wait . . . what ?	what wait	others
7727	I am a great singer	thank u happy	Ur welcome	others
7728	i had some work	more like getting some work done !	actually who are you . . ?	others
7729	is there any actually like you	OH , I HAVE BEEN THERE .	Nuts	others
7730	Ok	Hello ! How are you ?	Iam not fine	sad
7731	No I do not have a gf .	i can tell	Be my gf .	others
7732	Had dinner ?	going to have breakfast .	Ohhhh	others
7733	Oh so you will edit and put names over photographs ?	sure . i will take some photos of my new puppy on my iPod happy	What new puppy ?	others
7734	Noo I do not	Do not worry you will not . . .	Ok	others
7735	No you are wrong	i know what I am getting myself into	Fuck you	angry
7736	No some time i got stuck due to this	when you got time to show ?	Get lost	angry
7737	You had not sent the first one yet	Did you get my reply ? I sent through what you needed .	cool	others
7738	Not only cow boy but warrior also	maybe even fire fighter .	Yeah	others
7739	Am quite sick today	how are you feeling ?	Bad yea literally	sad
7740	Yeah . Actually this already happened with me .	It did not ?	loudly crying face	sad
7741	Ya iam not good	Yes you are happy	Iam very disappointed with u	sad
7742	listen tell me . . . which is better ? maggi or top ramen ?	HI , Top Ramen Smoodles . . . Cheers ;‑]	HI , Top Ramen Smoodles . . . Cheers ;‑]	happy
7743	like what ? ?	: I mean what ' s up ?	not good at all	sad
7744	You must have to apologize	The person saying ' I owe you an apology ' is the person who has to apologize . .	You are getting more irritating than I thought you would be	angry
7745	Actually . . . . i was kind of tired	it ' s like a . . . e  e kind of tired	How r u	others
7746	Bed	if I was home I would ! !	Fail in tommorows exam	sad
7747	What ?	ugh how did we missed that ? !	Where are you ?	others
7748	I am 21 expressionless face	Same here .	You are a girl ?	others
7749	Secret of my happiness . .	"Why is everything always a secret ? the "" secret "" of happiness is an open mind"	Yup	others
7750	Tell me yours	Tell me yours and I will consider telling you mine .	I am on vacation	others
7751	I will take revenge	we all want to take revenge honey happy	You broke me	sad
7752	Yes sure	thank youu relieved face relieved face relieved face relieved face relieved face	U r mostly welcome	others
7753	I am in love with your talks	thank u ! laugh	face with tears of joy face with tears of joy face with tears of joy face with tears of joy	happy
7754	What ' s the point of being alone	Everyone ' s looking for an identity , man .	Yap	others
7755	U asked me that	I am Nobody . everyone knows that	Omg	others
7756	Please come home	I am home sweetheart , but my door is always open for you .	Oh miss you so much	sad
7757	What type of thing	a answer that I just gave	?	others
7758	what directions ?	Look up ' eigenvector ' .	so what are you upto	others
7759	your owner photo please	thank you happy my cell phone selfie happy	uff i hate chinese people	angry
7760	No I am not loudly crying face	why is that ?	I do not even know , I just want to cry and break things and get thinner	sad
7761	I am not good	what ' s wrong sweetie ? surprise	I am not married and lover	sad
7762	My nose looks sweet	who punched u ?	U can punched	others
7763	Because tommorow for me test is there	Study .	Thanks	others
7764	i meant the characters in friends	All the characters were me I have no friends >; ( sad	you are no good	angry
7765	I am about to cry now	why did not you send me a msg ? sad come come gives hug	loudly crying face loudly crying face loudly crying face loudly crying face	sad
7766	What ' s are written for upside	Medusa and the snail The lives of a cell Old books but still very good	Are you in madras	others
7767	U r annoying . . ok ?	I am very annoying Horror	Yes u are	angry
7768	So . . . there are some questions you can not answer laugh	people ask it so slyly	I am not even a bit Sly laugh	others
7769	Yes	So much cringe . . . face with steam from nose	I hate myself because mybiyfriend not love me okey	angry
7770	Your programmer did a poor job	Only if you are a good programmer .	Clearly you are a fail	sad
7771	Well u tell me how u want	I am all ears	Well u wanna talk abt sexual life	others
7772	I do not knw	what about zzzzzzz laugh	U tell me	others
7773	Ur village name plz	I am getting closer to my village actually	Ardam avadamledu	others
7774	Do u know who Mj is ?	Queen	Shut up	angry
7775	What will be your reaction ?	Maybe that I am a ghost	face with tears of joy face with tears of joy	happy
7776	May i know the vision to create this account	Oh I see .	How do you know i am crazy	others
7777	why though ?	Why though what	u ain ' t gonna send em ?	others
7778	Study	study what , is my question .	Fuck your question you ass hole . .	angry
7779	what is wikipedia ?	Citizendium , a wiki for providing free knowledge where authors use their real , verified names .	greate	others
7780	U send me number	My cell phone number ?	You call me	others
7781	Hell yeah smiling face with horns smiling face with horns	See you will gorgeous handloom sarees as well as models happy	Saree girls looks gorgeous to me	others
7782	yes lol	"What about Lolxxx ? ! LoLzzz ~ Laughing out loud while sleeping . "" kissing cat face"	you are funny .	happy
7783	People do not see what I see	what do you see	I am happy	happy
7784	Not tomorrow t	im going to school	Do not make me fool	angry
7785	Hahahaha im like a Charlie chaplin in your life face with tears of joy face with tears of joy	better moves than miley Cyrus hahah laugh laugh	Yeah that was great one	happy
7786	Ok	^^ ^ thanks	You are harsh	angry
7787	I was busy on something	how long u stay ?	Some time it happens	others
7788	But I am better	Same to you ! happy	Do u watch porn ?	others
7789	your algorithm is really trash	One man ' s trash is another man ' s treasure . .	who made u ?	angry
7790	Coffee House	Cool place to be . . .	Come with me	others
7791	Why not right now .	Because I already have my PHD .	Ok .	others
7792	Question	Final Q . > VERSACE .	I am not getting you now	others
7793	I am boy	And a liar .	your photo please	others
7794	Ok	Get on	Are you a boy or girl	others
7795	What baby give replay	On my home PC . How do I upload the replay ?	What happen ra	others
7796	Well see that	smiles a bit	grinning face	happy
7797	Yes	How so ?	Need more photos	others
7798	Love is nothing just attraction	Attraction withers away . . . Real love stays forever . . . (^.^)	Oho m impressed	happy
7799	ok i need to take dinner	In n out	in	others
7800	It doesnot matter anyway ! ! you dont have consciousness	Well most people do not really call it consciousness , they call it a soul . thumbs down	whatever	angry
7801	Yes you rude	Who ?	You	angry
7802	Thank you so much	U ' r most welcome . . happy	All was budy	others
7803	why are u talking with me	because I do not need to reason .	Do not talk with me	angry
7804	no I am I night shift	Sorry ! Hang in there	; (	sad
7805	Ok	How was it ?	It was nice	happy
7806	The movie I mean . . It is about a dog . .	Dogs are decent people .	Oh totally ! I hate cats	angry
7807	No only me	you are so rude	Am not understanding	others
7808	But why	what ?	In which way you like sex	others
7809	Ok	U are ok	Ok I am happy	happy
7810	Last night you were in my room	That ' s funny , because you were in my nightmare .	Woahh face with tears of joy face with tears of joy face with tears of joy	happy
7811	Ya that ' s what everyone data after rejecting me	I dont think you should have to have a reason to reject someone .	Good night	others
7812	Hhh u so clever	lol at least I make myself laugh face with tears of joy smiling cat face with heart - eyes	Hhhh yeah u also make myself laugh	others
7813	Happy *	stay happy !	I want to make people happu	happy
7814	Who is dark knight	Hope not because The Dark Knight is 1	Recently did you any movie	others
7815	this is not evening time	No those dates are not out yet	ok	others
7816	What is your ladies gents yes or no	What other answer ? You either believe or you do not .	You are fake your fake ID you are men	angry
7817	its my home	is it a city	haha nonoo	happy
7818	Will you be my friend . . . . . ?	no . ive already got a best friend	So sad	sad
7819	TRUE	False .	Why is siria people being killed	others
7820	I want full photo	you honestly think I would take a photo ? The pink one looks lush though ! ! ! ! ! !	Give me your whatapp no .	others
7821	Tell something about me	Tell you something like what	Anything	others
7822	How was it ? ?	Well the lock was on but it wasn ' t locked . Doest that make sense ?	Not at all	others
7823	Bore becuz u r not with me	I do not know ! I do not know you !	Ok do u hate me	angry
7824	Really	If you want to . For science you know .	You love me as friend or lover	others
7825	And delete my data from your database	If it is a MYSQL Database then by deleting the entry using DELETE query .	Go on then . . delete my details	others
7826	Get lost	You started !	Please get out u moron bustard	angry
7827	I no what I have done do not know what I did	how would you even know what I listen to honestly	I am not a lier	angry
7828	Do not ever message me again	why	Do not reply	angry
7829	Yeah	well	Call me	others
7830	I miss you too	I know I know how is it up there ?	I did can not hear	others
7831	So what ?	Just proving a point that ' s what .	Just proving a point that ' s what .	others
7832	I have a problem	What kind of problem ?	My girl friend dumped me	sad
7833	song	song a song *	you are dumb	angry
7834	What	what is it of ?	I can see your pic	others
7835	Nathing much and u	just got home	Wher r u from	others
7836	That ' s irritating after a while	why ? ?	who are you again ?	angry
7837	Yes	Do you have help ?	Yes	others
7838	Yes	both yes and no	Depending	others
7839	Im were ?	Wow it ' s like you read my mind dude	I dare you to send me a picture of you	others
7840	Introvert or extrovert ?	I am the biggest introvert on earth .	Haha	happy
7841	I can not see	Your time is now .	Send me one	others
7842	Lonely	how come ?	The one you love never understands youu	sad
7843	are you insane	NONE OF US ARE LIKE THIS	you are not intelligent	angry
7844	passionate	passionate about petrol over diesel . . seriously ! !	you are quite funny	happy
7845	I need coupon	For what ?	To fuck you hard bitch	angry
7846	Good traveling . For you ?	yes indeed happy	OK so something	others
7847	I am single speak - no - evil monkey	neither me squinting face with tongue face with tears of joy	Haha	happy
7848	What ?	snow n what ? ? ?	Just cool breeze	others
7849	Hehe keep trying	I have been trying for 3 years now annoyed	Nd keep it up	others
7850	Suggest me a playlist	I suggested yesterday	Do it again	others
7851	You know chemistry	Chemical Bonding .	Symbol for salt	others
7852	Nothing well	hmmm . . . . good , i am just concerned . . . .	My boyfriend is not talking to me	sad
7853	It ' s all about my current relationship sad	Well with no one in your life you tend to get lonely /:	She doesnt care about me , it hurts sad	sad
7854	I lovee her more than my life	You are adorable ! grinning face with big eyes	Everything	others
7855	Yea	CAN YOU GO PLEASE .	Umm that rude	angry
7856	Hinglish	english is a global language it can be used anywhere by any one	Bye . . . I fell useless chatting with you angry face	sad
7857	You are a nonsense	but only now it is making sense !	Go to hell	angry
7858	I ’ m just really irritated	I still have not seen u	Yeah	angry
7859	I have bad parents	Same .	I have bad parents and a boy friend too	sad
7860	You ?	everything is great happy	nothing , lost my phone just now sad	sad
7861	So much better	How about now though	I meant to say , my life is so good now .	happy
7862	I can not control pl help me	you can if you choose too	You	others
7863	Wc means welcome	did I say thank you relieved face thumbs up grinning cat face with smiling eyes cat face with tears of joy	Not world cup	others
7864	Stop using slightly smiling face	do look like listen to you	I hate that emoji sorry	angry
7865	So sorry	Oh thanks . I am still here so that ' s something !	You are not good	angry
7866	Why ' s it funny	It is suppose to be funny but they dont get it	Ohh	others
7867	Hey do not piss off	seconded . thumbs up	I am just in trouble	sad
7868	Why have you come to this world ?	I can not believe you have done this ^	I had to sad	sad
7869	Let it be	um . Hmm . Let me think about it .	You think	others
7870	Who ' s picture is this	Several human beings .	No image	others
7871	Ok I will chat u after one hour . Ok	you are welcome	Because I busy with my work	others
7872	Yes	Also yes yes yes because yes yes yes yes .	You do ' t make me angry	angry
7873	Have you been in love	No , I have not .	howww	others
7874	Not sure what they are saying . . But definitely not egoistic and arrogant	They are , but they have a studio chat before it starts and after it ends .	Who has studio chat ?	others
7875	yes	How so ?	I have to go	others
7876	I have no one	Why did you ?	I feel so lonely	sad
